week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-001,STR-001,85,0,24,61,False
2024-01-08,BEV-001,STR-001,61,0,24,37,False
2024-01-15,BEV-001,STR-001,37,0,27,10,False
2024-01-22,BEV-001,STR-001,10,75,26,59,False
2024-01-29,BEV-001,STR-001,59,0,28,31,False
2024-02-05,BEV-001,STR-001,31,54,28,57,False
2024-02-12,BEV-001,STR-001,57,0,27,30,False
2024-02-19,BEV-001,STR-001,30,55,24,61,False
2024-02-26,BEV-001,STR-001,61,0,29,32,False
2024-03-04,BEV-001,STR-001,32,53,26,59,False
2024-03-11,BEV-001,STR-001,59,0,31,28,False
2024-03-18,BEV-001,STR-001,28,57,29,56,False
2024-03-25,BEV-001,STR-001,56,0,27,29,False
2024-04-01,BEV-001,STR-001,29,56,26,59,False
2024-04-08,BEV-001,STR-001,59,0,27,32,False
2024-04-15,BEV-001,STR-001,32,53,27,58,False
2024-04-22,BEV-001,STR-001,58,0,30,28,False
2024-04-29,BEV-001,STR-001,28,57,27,58,False
2024-05-06,BEV-001,STR-001,58,0,33,25,False
2024-05-13,BEV-001,STR-001,25,45,34,36,False
2024-05-20,BEV-001,STR-001,36,0,32,4,False
2024-05-27,BEV-001,STR-001,4,54,31,27,False
2024-06-03,BEV-001,STR-001,27,58,29,56,False
2024-06-10,BEV-001,STR-001,56,0,36,20,False
2024-01-01,BEV-001,STR-002,213,0,63,150,False
2024-01-08,BEV-001,STR-002,150,0,120,30,False
2024-01-15,BEV-001,STR-002,30,183,66,147,False
2024-01-22,BEV-001,STR-002,147,0,76,71,False
2024-01-29,BEV-001,STR-002,71,142,60,153,False
2024-02-05,BEV-001,STR-002,153,0,74,79,False
2024-02-12,BEV-001,STR-002,79,134,60,153,False
2024-02-19,BEV-001,STR-002,153,0,66,87,False
2024-02-26,BEV-001,STR-002,87,0,76,11,False
2024-03-04,BEV-001,STR-002,11,202,80,133,False
2024-03-11,BEV-001,STR-002,133,0,67,66,False
2024-03-18,BEV-001,STR-002,66,147,65,148,False
2024-03-25,BEV-001,STR-002,148,0,120,28,False
2024-04-01,BEV-001,STR-002,28,185,93,120,False
2024-04-08,BEV-001,STR-002,120,0,82,38,False
2024-04-15,BEV-001,STR-002,38,175,106,107,False
2024-04-22,BEV-001,STR-002,107,0,81,26,False
2024-04-29,BEV-001,STR-002,26,187,70,143,False
2024-05-06,BEV-001,STR-002,143,0,85,58,False
2024-05-13,BEV-001,STR-002,58,155,80,133,False
2024-05-20,BEV-001,STR-002,133,0,83,50,False
2024-05-27,BEV-001,STR-002,50,163,89,124,False
2024-06-03,BEV-001,STR-002,124,0,82,42,False
2024-06-10,BEV-001,STR-002,42,171,91,122,False
2024-01-01,BEV-001,STR-003,85,0,21,64,False
2024-01-08,BEV-001,STR-003,64,0,57,7,False
2024-01-15,BEV-001,STR-003,7,78,29,56,False
2024-01-22,BEV-001,STR-003,56,0,25,31,False
2024-01-29,BEV-001,STR-003,31,54,27,58,False
2024-02-05,BEV-001,STR-003,58,0,26,32,False
2024-02-12,BEV-001,STR-003,32,53,27,58,False
2024-02-19,BEV-001,STR-003,58,0,25,33,False
2024-02-26,BEV-001,STR-003,33,52,24,61,False
2024-03-04,BEV-001,STR-003,61,0,31,30,False
2024-03-11,BEV-001,STR-003,30,55,30,55,False
2024-03-18,BEV-001,STR-003,55,0,33,22,False
2024-03-25,BEV-001,STR-003,22,63,42,43,False
2024-04-01,BEV-001,STR-003,43,0,31,12,False
2024-04-08,BEV-001,STR-003,12,73,39,46,False
2024-04-15,BEV-001,STR-003,46,0,44,2,False
2024-04-22,BEV-001,STR-003,2,83,28,57,False
2024-04-29,BEV-001,STR-003,57,0,32,25,False
2024-05-06,BEV-001,STR-003,25,30,30,25,False
2024-05-13,BEV-001,STR-003,25,60,30,55,False
2024-05-20,BEV-001,STR-003,55,0,29,26,False
2024-05-27,BEV-001,STR-003,26,59,33,52,False
2024-06-03,BEV-001,STR-003,52,0,30,22,False
2024-06-10,BEV-001,STR-003,22,63,33,52,False
2024-01-01,BEV-001,STR-004,213,0,53,160,False
2024-01-08,BEV-001,STR-004,160,0,68,92,False
2024-01-15,BEV-001,STR-004,92,0,61,31,False
2024-01-22,BEV-001,STR-004,31,182,58,155,False
2024-01-29,BEV-001,STR-004,155,0,70,85,False
2024-02-05,BEV-001,STR-004,85,0,76,9,False
2024-02-12,BEV-001,STR-004,9,204,67,146,False
2024-02-19,BEV-001,STR-004,146,0,65,81,False
2024-02-26,BEV-001,STR-004,81,95,72,104,False
2024-03-04,BEV-001,STR-004,104,0,68,36,False
2024-03-11,BEV-001,STR-004,36,177,71,142,False
2024-03-18,BEV-001,STR-004,142,0,82,60,False
2024-03-25,BEV-001,STR-004,60,153,113,100,False
2024-04-01,BEV-001,STR-004,100,0,91,9,False
2024-04-08,BEV-001,STR-004,9,204,81,132,False
2024-04-15,BEV-001,STR-004,132,0,88,44,False
2024-04-22,BEV-001,STR-004,44,169,87,126,False
2024-04-29,BEV-001,STR-004,126,0,69,57,False
