week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2024-01-01,BEV-001,STR-001,North,24,35.76,False,,0.0
2024-01-08,BEV-001,STR-001,North,24,35.76,False,,0.0
2024-01-15,BEV-001,STR-001,North,27,40.23,False,,0.0
2024-01-22,BEV-001,STR-001,North,26,38.74,False,,0.0
2024-01-29,BEV-001,STR-001,North,28,41.72,False,,0.0
2024-02-05,BEV-001,STR-001,North,28,41.72,False,,0.0
2024-02-12,BEV-001,STR-001,North,27,40.23,False,,0.0
2024-02-19,BEV-001,STR-001,North,24,35.76,False,,0.0
2024-02-26,BEV-001,STR-001,North,29,43.21,False,,0.0
2024-03-04,BEV-001,STR-001,North,26,38.74,False,,0.0
2024-03-11,BEV-001,STR-001,North,31,46.19,False,,0.0
2024-03-18,BEV-001,STR-001,North,29,43.21,False,,0.0
2024-03-25,BEV-001,STR-001,North,27,40.23,False,,0.0
2024-04-01,BEV-001,STR-001,North,26,38.74,False,,0.0
2024-04-08,BEV-001,STR-001,North,27,40.23,False,,0.0
2024-04-15,BEV-001,STR-001,North,27,40.23,False,,0.0
2024-04-22,BEV-001,STR-001,North,30,44.7,False,,0.0
2024-04-29,BEV-001,STR-001,North,27,40.23,False,,0.0
2024-05-06,BEV-001,STR-001,North,33,49.17,False,,0.0
2024-05-13,BEV-001,STR-001,North,34,50.66,False,,0.0
2024-05-20,BEV-001,STR-001,North,32,47.68,False,,0.0
2024-05-27,BEV-001,STR-001,North,31,46.19,False,,0.0
2024-06-03,BEV-001,STR-001,North,29,43.21,False,,0.0
2024-06-10,BEV-001,STR-001,North,36,53.64,False,,0.0
2024-01-01,BEV-001,STR-002,North,63,93.87,False,,0.0
2024-01-08,BEV-001,STR-002,North,120,96.55,True,BOGO,0.46
2024-01-15,BEV-001,STR-002,North,66,98.34,False,,0.0
2024-01-22,BEV-001,STR-002,North,76,113.24,False,,0.0
2024-01-29,BEV-001,STR-002,North,60,89.4,False,,0.0
2024-02-05,BEV-001,STR-002,North,74,110.26,False,,0.0
2024-02-12,BEV-001,STR-002,North,60,89.4,False,,0.0
2024-02-19,BEV-001,STR-002,North,66,98.34,False,,0.0
2024-02-26,BEV-001,STR-002,North,76,113.24,False,,0.0
2024-03-04,BEV-001,STR-002,North,80,119.2,False,,0.0
2024-03-11,BEV-001,STR-002,North,67,99.83,False,,0.0
2024-03-18,BEV-001,STR-002,North,65,96.85,False,,0.0
